timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB]
2025/09/25 11:12:27.628, 0, 143771, 69969, 73198
2025/09/25 11:12:27.634, 1, 143771, 69969, 73198
2025/09/25 11:12:37.639, 0, 143771, 69969, 73198
2025/09/25 11:12:37.648, 1, 143771, 69969, 73198
2025/09/25 11:12:47.660, 0, 143771, 69969, 73198
2025/09/25 11:12:47.692, 1, 143771, 69969, 73198
2025/09/25 11:12:57.694, 0, 143771, 69969, 73198
2025/09/25 11:12:57.703, 1, 143771, 69969, 73198
2025/09/25 11:13:07.703, 0, 143771, 69969, 73198
2025/09/25 11:13:07.706, 1, 143771, 69969, 73198
2025/09/25 11:13:17.776, 0, 143771, 65449, 77718
2025/09/25 11:13:17.812, 1, 143771, 65765, 77402
2025/09/25 11:13:27.818, 0, 143771, 69329, 73838
2025/09/25 11:13:27.834, 1, 143771, 69969, 73198
2025/09/25 11:13:37.853, 0, 143771, 69969, 73198
2025/09/25 11:13:37.871, 1, 143771, 69969, 73198
2025/09/25 11:13:47.882, 0, 143771, 69969, 73198
2025/09/25 11:13:47.889, 1, 143771, 69969, 73198
